proj ID,lake ID,site,trap ID ,deploy ID,date set ,time set ,date retrieved,time retrieved,comments
15,EL,DeepHole,3b,6,8/18/2015,10:15,9/10/2015,12:00,
15,HB,DeepHole,1,6,8/18/2015,9:45,9/10/2015,10:50,
15,HB,DeepHole,2,6,8/18/2015,9:45,9/10/2015,10:50,
15,HB,DeepHole,3a,6,8/18/2015,9:45,9/10/2015,10:50,
15,HB,DeepHole,3b,6,8/18/2015,9:45,9/10/2015,10:50,
15,CR,DeepHole,1,6,8/18/2015,11:15,9/10/2015,10:00,
15,CR,DeepHole,2,6,8/18/2015,11:15,9/10/2015,10:00,
15,CR,DeepHole,3a,6,8/18/2015,11:15,9/10/2015,10:00,
15,CR,DeepHole,3b,6,8/18/2015,11:15,9/10/2015,10:00,
15,MO,DeepHole,1,6,8/18/2015,8:45,9/10/2015,10:30,
15,MO,DeepHole,2,6,8/18/2015,8:45,9/10/2015,10:30,
15,MO,DeepHole,3a,6,8/18/2015,8:45,9/10/2015,10:30,
15,MO,DeepHole,3b,6,8/18/2015,8:45,9/10/2015,10:30,
