Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
P1002_C10,Area,Jones_JS_POC_run11_031715_032.prm,Unknown,0,64.0873,0.0207,14.7867,895.1347,0.1195,85.2133,0.0716,0.06681175,0.93318825,,0
P1003_C11,Area,Jones_JS_POC_run11_031715_033.prm,Unknown,0,59.7384,0.019,12.8476,954.0383,0.1289,87.1524,0.0626,0.058926586,0.941073414,,0
P1004_C12,Area,Jones_JS_POC_run11_031715_034.prm,Unknown,0,27.1206,0.0059,13.3005,382.4896,0.0384,86.6995,0.0709,0.066210754,0.933789246,,0
P1005_D1,Area,Jones_JS_POC_run11_031715_035.prm,Unknown,0,27.9324,0.0062,8.2156,578.7944,0.0695,91.7844,0.0483,0.046037854,0.953962146,,0
P1006_D2,Area,Jones_JS_POC_run11_031715_036.prm,Unknown,0,28.4543,0.0064,14.4859,379.5638,0.038,85.5141,0.075,0.069737838,0.930262162,,0
P1007_D3,Area,Jones_JS_POC_run11_031715_037.prm,Unknown,0,35.2836,0.0092,10.5687,630.2027,0.0776,89.4313,0.056,0.053019273,0.946980727,,0
control_H9_white,Area,Jones_JS_POC_run11_031715_038.prm,Unknown,1.041,282.3064,0.1084,10.4142,4896.4018,0.7528,72.3128,0.0577,0.0545129,0.9454871,,0
P1008_D4,Area,Jones_JS_POC_run11_031715_039.prm,Unknown,0,27.2418,0.0059,12.9498,392.1394,0.0399,87.0502,0.0695,0.064957132,0.935042868,,0
P1009_D5,Area,Jones_JS_POC_run11_031715_040.prm,Unknown,0,30.0157,0.0071,12.2964,457.7694,0.0503,87.7036,0.0656,0.06153468,0.93846532,,0
P1010_D6,Area,Jones_JS_POC_run11_031715_041.prm,Unknown,0,32.5179,0.0081,8.7383,671.756,0.0842,91.2617,0.0484,0.046172235,0.953827765,,0
P1011_D7,Area,Jones_JS_POC_run11_031715_042.prm,Unknown,0,47.3635,0.014,13.2751,718.7321,0.0916,86.7249,0.0659,0.061824529,0.938175471,,0
P1012_D8,Area,Jones_JS_POC_run11_031715_043.prm,Unknown,0,63.0699,0.0203,13.6265,954.2437,0.1289,86.3735,0.0661,0.061996517,0.938003483,,0
P1013_D9,Area,Jones_JS_POC_run11_031715_044.prm,Unknown,0,36.7064,0.0097,13.9854,518.4374,0.0599,86.0146,0.0708,0.066120526,0.933879474,,0
P1014_D10,Area,Jones_JS_POC_run11_031715_045.prm,Unknown,0,58.1341,0.0184,15.9794,749.5105,0.0965,84.0206,0.0776,0.071979804,0.928020196,,0
P1020_E4,Area,Jones_JS_POC_run11_031715_046.prm,Unknown,0,39.1954,0.0107,12.7262,605.3303,0.0737,87.2738,0.0648,0.060812781,0.939187219,,0
P1021_E5,Area,Jones_JS_POC_run11_031715_047.prm,Unknown,0,65.6998,0.0214,14.2876,950.6595,0.1283,85.7124,0.0691,0.064642297,0.935357703,,0
P1022_E6,Area,Jones_JS_POC_run11_031715_048.prm,Unknown,0,28.3375,0.0064,10.7637,474.0839,0.0529,89.2363,0.0598,0.056401857,0.943598143,,0
P1023_E7,Area,Jones_JS_POC_run11_031715_049.prm,Unknown,0,37.997,0.0103,12.1711,607.708,0.0741,87.8289,0.0625,0.058845758,0.941154242,,0
P1024_E8,Area,Jones_JS_POC_run11_031715_050.prm,Unknown,0,47.2252,0.014,15.0531,637.8956,0.0788,84.9469,0.074,0.068929742,0.931070258,,0
control_H10_white,Area,Jones_JS_POC_run11_031715_051.prm,Unknown,1.343,356.0846,0.1381,10.2793,6237.5588,0.965,71.8559,0.0571,0.054004225,0.945995775,,0
P1025_E9,Area,Jones_JS_POC_run11_031715_052.prm,Unknown,0,106.7293,0.0379,14.149,1591.8947,0.2298,85.851,0.067,0.062832799,0.937167201,,0
P1032_F4,Area,Jones_JS_POC_run11_031715_053.prm,Unknown,0,60.9194,0.0195,16.0976,781.0327,0.1015,83.9024,0.078,0.072354948,0.927645052,,0
P1033_F5,Area,Jones_JS_POC_run11_031715_054.prm,Unknown,0,54.2434,0.0168,14.3495,772.9919,0.1002,85.6505,0.0702,0.065571912,0.934428088,,0
P1034_F6,Area,Jones_JS_POC_run11_031715_055.prm,Unknown,0,43.4701,0.0125,12.6898,681.5205,0.0857,87.3102,0.0638,0.059959536,0.940040464,,0
P1035_F7,Area,Jones_JS_POC_run11_031715_056.prm,Unknown,0,38.4533,0.0104,11.8859,629.0783,0.0774,88.1141,0.0611,0.057605213,0.942394787,,0
